"PACIFIC Exchange Rate Service"
"MMM YYYY","USD/DZD","USD/ARS","USD/AUD","USD/ATS","USD/BSD","USD/BHD","USD/BBD","USD/BEF","USD/BMD","USD/BRL","USD/GBP","USD/BGN","USD/CAD","USD/CLP","USD/CNY","USD/COP","USD/HRK","USD/CYP","USD/CZK","USD/DKK"
"Jun 1974",,,,,,,,0.026366,,,2.3901,,1.03480,,,,,,,
"Jul 1974",,,,,,,,0.026378,,,2.3895,,1.02423,,,,,,,
"Aug 1974",,,,,,,,0.025812,,,2.3454,,1.02052,,,,,,,
"Sep 1974",,,,,,,,0.025364,,,2.3165,,1.01384,,,,,,,
"Oct 1974",,,,,,,,0.025937,,,2.3330,,1.01727,,,,,,,
"Nov 1974",,,,,,,,0.026526,,,2.3251,,1.01280,,,,,,,
"Dec 1974",,,,,,,,0.027155,,,2.3293,,1.01191,,,,,,,
"Jan 1975",,,,,,,,0.028185,,,2.3622,,1.00525,,,,,,,
"Feb 1975",,,,,,,,0.028748,,,2.3956,,0.99957,,,,,,,
"Mar 1975",,,,,,,,0.029083,,,2.4179,,0.99954,,,,,,,
"Apr 1975",,,,,,,,0.028431,,,2.3705,,0.98910,,,,,,,
"May 1975",,,,,,,,0.028630,,,2.3204,,0.97220,,,,,,,
"Jun 1975",,,,,,,,0.028602,,,2.2799,,0.97426,,,,,,,
"Jul 1975",,,,,,,,0.027107,,,2.1844,,0.97004,,,,,,,
"Aug 1975",,,,,,,,0.026129,,,2.1142,,0.96580,,,,,,,
"Sep 1975",,,,,,,,0.025478,,,2.0830,,0.97437,,,,,,,
"Oct 1975",,,,,,,,0.025659,,,2.0568,,0.97556,,,,,,,
"Nov 1975",,,,,,,,0.025617,,,2.0483,,0.98630,,,,,,,
"Dec 1975",,,,,,,,0.025311,,,2.0221,,0.98627,,,,,,,
"Jan 1976",,,,,,,,0.025443,,,2.0285,,0.99356,,,,,,,
"Feb 1976",,,,,,,,0.025553,,,2.0262,,1.00650,,,,,,,
"Mar 1976",,,,,,,,0.025478,,,1.9420,,1.01431,,,,,,,
"Apr 1976",,,,,,,,0.025666,,,1.8462,,1.01667,,,,,,,
"May 1976",,,,,,,,0.025515,,,1.8076,,1.02021,,,,,,,
"Jun 1976",,,,,,,,0.025220,,,1.7638,,1.02710,,,,,,,
"Jul 1976",,,,,,,,0.025181,,,1.7850,,1.02856,,,,,,,
"Aug 1976",,,,,,,,0.025632,,,1.7828,,1.01485,,,,,,,
"Sep 1976",,,,,,,,0.026044,,,1.7263,,1.02557,,,,,,,
"Oct 1976",,,,,,,,0.026821,,,1.6371,,1.02805,,,,,,,
"Nov 1976",,,,,,,,0.027047,,,1.6378,,1.01432,,,,,,,
"Dec 1976",,,,,,,,0.027482,,,1.6783,,0.98200,,,,,,,
"Jan 1977",,,,,,,,0.027244,,,1.7124,,0.98982,,,,,,,
"Feb 1977",,,,,,,,0.027114,,,1.7103,,0.97290,,,,,,,
"Mar 1977",,,,,,,,0.027258,,,1.7174,,0.95124,,,,,,,
"Apr 1977",,,,,,,,0.027509,,,1.7190,,0.95102,,,,,,,
"May 1977",,,,,,,,0.027699,,,1.7184,,0.95364,,,,,,,
"Jun 1977",,,,,,,,0.027712,,,1.7191,,0.94548,,,,,,,
"Jul 1977",,,,,,,,0.028206,,,1.7226,,0.94230,,,,,,,
"Aug 1977",,,,,,,,0.028108,,,1.7396,,0.93027,,,,,,,
"Sep 1977",,,,,,,,0.027911,,,1.7432,,0.93168,,,,,,,
"Oct 1977",,,,,,,,0.028229,,,1.7710,,0.91000,,,,,,,
"Nov 1977",,,,,,,,0.028395,,,1.8178,,0.90145,,,,,,,
"Dec 1977",,,,,,,,0.029597,,,1.8541,,0.91130,,,,,,,
"Jan 1978",,,,,,,,0.030423,,,1.9351,,0.90808,,,,,,,
"Feb 1978",,,,,,,,0.030923,,,1.9396,,0.89850,,,,,,,
"Mar 1978",,,,,,,,0.031585,,,1.9051,,0.88822,,,,,,,
"Apr 1978",,,,,,,,0.031412,,,1.8494,,0.87590,,,,,,,
"May 1978",,,,,,,,0.030460,,,1.8181,,0.89394,,,,,,,
"Jun 1978",,,,,,,,0.030589,,,1.8371,,0.89142,,,,,,,
"Jul 1978",,,,,,,,0.030863,,,1.8947,,0.88921,,,,,,,
"Aug 1978",,,,,,,,0.031829,,,1.9404,,0.87689,,,,,,,
"Sep 1978",,,,,,,,0.032204,,,1.9594,,0.85734,,,,,,,
"Oct 1978",,,,,,,,0.034468,,,2.0069,,0.84544,,,,,,,
"Nov 1978",,,,,,,,0.033379,,,1.9605,,0.85244,,,,,,,
"Dec 1978",,,,,,,,0.033624,,,1.9857,,0.84761,,,,,,,
"Jan 1979",,,,,,,,0.034275,,,2.0052,,0.84041,,,,,,,
"Feb 1979",,,,,,,,0.034153,,,2.0042,,0.83638,,,,,,,
"Mar 1979",,,,,,,,0.033971,,,2.0377,,0.85183,,,,,,,
"Apr 1979",,,,,,,,0.033271,,,2.0733,,0.87232,,,,,,,
"May 1979",,,,,,,,0.032730,,,2.0586,,0.86532,,,,,,,
"Jun 1979",,,,,,,,0.033039,,,2.1113,,0.85295,,,,,,,
"Jul 1979",,,,,,,,0.034238,,,2.2590,,0.85920,,,,,,,
"Aug 1979",,,,,,,,0.034140,,,2.2366,,0.85424,,,,,,,
"Sep 1979",,,,,,,,0.034679,,,2.1959,,0.85814,,,,,,,
"Oct 1979",,,,,,,,0.034653,,,2.1431,,0.85081,,,,,,,
"Nov 1979",,,,,,,,0.034820,,,2.1344,,0.84770,,,,,,,
"Dec 1979",,,,,,,,0.035423,,,2.2006,,0.85470,,,,,,,
"Jan 1980",,,,,,,,0.035687,,,2.2640,,0.85911,,,,,,,
"Feb 1980",,,,,,,,0.035220,,,2.2890,,0.86545,,,,,,,
"Mar 1980",,,,,,,,0.033378,,,2.2042,,0.85242,,,,,,,
"Apr 1980",,,,,,,,0.033124,,,2.2084,,0.84310,,,,,,,
"May 1980",,,,,,,,0.034757,,,2.3016,,0.85169,,,,,,,
"Jun 1980",,,,,,,,0.035336,,,2.3360,,0.86837,,,,,,,
"Jul 1980",,,,,,,,0.035765,,,2.3730,,0.86780,,,,,,,
"Aug 1980",,,,,,,,0.034879,,,2.3703,,0.86263,,,,,,,
"Sep 1980",,,,,,,,0.034843,,,2.4012,,0.85859,,,,,,,
"Oct 1980",,,,,,,,0.033865,,,2.4164,,0.85539,,,,,,,
"Nov 1980",,,,,,,,0.032455,,,2.3937,,0.84285,,,,,,,
"Dec 1980",,,,,,,,0.031539,,,2.3457,,0.83558,,,,,,,
"Jan 1981",,,,,,,,0.030944,,,2.4028,,0.83974,,,,,,,
"Feb 1981",,,,,,,,0.028967,,,2.2930,,0.83442,,,,,,,
"Mar 1981",,,,,,,,0.028961,,,2.2316,,0.83931,,,,,,,
"Apr 1981",,,,,,,,0.028216,,,2.1750,,0.83964,,,,,,,
"May 1981",,,,,,,,0.026736,,,2.0881,,0.83264,,,,,,,
"Jun 1981",,,,,,,,0.025732,,,1.9731,,0.83051,,,,,,,
"Jul 1981",,,,,,,,0.025025,,,1.8735,,0.82595,,,,,,,
"Aug 1981",,,,,,,,0.024461,,,1.8199,,0.81755,,,,,,,
"Sep 1981",,,,,,,,0.025957,,,1.8143,,0.83275,,,,,,,
"Oct 1981",,,,,,,,0.026553,,,1.8403,,0.83136,,,,,,,
"Nov 1981",,,,,,,,0.026723,,,1.9022,,0.84232,,,,,,,
"Dec 1981",,,,,,,,0.026113,,,1.9030,,0.84382,,,,,,,
"Jan 1982",,,,,,,,0.025623,,,1.8858,,0.83854,,,,,,,
"Feb 1982",,,,,,,,0.024305,,,1.8469,,0.82372,,,,,,,
"Mar 1982",,,,,,,,0.022533,,,1.8052,,0.81933,,,,,,,
"Apr 1982",,,,,,,,0.022079,,,1.7718,,0.81617,,,,,,,
"May 1982",,,,,,,,0.022901,,,1.8103,,0.81063,,,,,,,
"Jun 1982",,,,,,,,0.021653,,,1.7559,,0.78398,,,,,,,
"Jul 1982",,,,,,,,0.021263,,,1.7352,,0.78743,,,,,,,
"Aug 1982",,,,,,,,0.021060,,,1.7247,,0.80309,,,,,,,
"Sep 1982",,,,,,,,0.020704,,,1.7119,,0.80986,,,,,,,
"Oct 1982",,,,,,,,0.020365,,,1.6961,,0.81294,,,,,,,
"Nov 1982",,,,,,,,0.020161,,,1.6315,,0.81556,,,,,,,
"Dec 1982",,,,,,,,0.021055,,,1.6158,,0.80743,,,,,,,
"Jan 1983",,,,,,,,0.021327,,,1.5751,,0.81389,,,,,,,
"Feb 1983",,,,,,,,0.020947,,,1.5328,,0.81453,,,,,,,
"Mar 1983",,,,,,,,0.021044,,,1.4897,,0.81543,,,,,,,
"Apr 1983",,,,,,,,0.020586,,,1.5356,,0.81137,,,,,,,
"May 1983",,,,,,,,0.020309,,,1.5720,,0.81356,,,,,,,
"Jun 1983",,,,,,,,0.019636,,,1.5477,,0.81147,,,,,,,
"Jul 1983",,,,,,,,0.019282,,,1.5273,,0.81147,,,,,,,
"Aug 1983",,,,,,,,0.018654,,,1.5024,,0.81054,,,,,,,
"Sep 1983",,,,,,,,0.018574,,,1.4987,,0.81133,,,,,,,
"Oct 1983",,,,,,,,0.018856,,,1.4969,,0.81169,,,,,,,
"Nov 1983",,,,,,,,0.018336,,,1.4766,,0.80862,,,,,,,
"Dec 1983",,,,,,,,0.017876,,,1.4337,,0.80199,,,,,,,
"Jan 1984",,,,,,,,0.017436,,,1.4075,,0.80100,,,,,,,
"Feb 1984",,,,,,,,0.018090,,,1.4412,,0.80125,,,,,,,
"Mar 1984",,,,,,,,0.018820,,,1.4555,,0.78757,,,,,,,
"Apr 1984",,,,,,,,0.018491,,,1.4209,,0.78147,,,,,,,
"May 1984",,,,,,,,0.017881,,,1.3894,,0.77258,,,,,,,
"Jun 1984",,,,,,,,0.017908,,,1.3768,,0.76688,,,,,,,
"Jul 1984",,,,,,,,0.017327,,,1.3199,,0.75542,,,,,,,
"Aug 1984",,,,,,,,0.017158,,,1.3132,,0.76717,,,,,,,
"Sep 1984",,,,,,,,0.016358,,,1.2559,,0.76071,,,,,,,
"Oct 1984",,,,,,,,0.016117,,,1.2193,,0.75819,,,,,,,
"Nov 1984",,,,,,,,0.016536,,,1.2386,,0.75940,,,,,,,
"Dec 1984",,,,,,,,0.016031,,,1.1859,,0.75752,,,,,,,
"Jan 1985",,,,,,,,0.015759,,,1.1269,,0.75527,,,,,,,
"Feb 1985",,,,,,,,0.015081,,,1.0928,,0.73817,,,,,,,
"Mar 1985",,,,,,,,0.015081,,,1.1221,,0.72255,,,,,,,
"Apr 1985",,,,,,,,0.016056,,,1.2369,,0.73219,,,,,,,
"May 1985",,,,,,,,0.015982,,,1.2477,,0.72697,,,,,,,
"Jun 1985",,,,,,,,0.016202,,,1.2807,,0.73121,,,,,,,
"Jul 1985",,,,,,,,0.017057,,,1.3797,,0.73932,,,,,,,
"Aug 1985",,,,,,,,0.017686,,,1.3838,,0.73664,,,,,,,
"Sep 1985",,,,,,,,0.017423,,,1.3628,,0.72974,,,,,,,
"Oct 1985",,,,,,,,0.018650,,,1.4214,,0.73168,,,,,,,
"Nov 1985",,,,,,,,0.019057,,,1.4393,,0.72650,,,,,,,
"Dec 1985",,,,,,,,0.019512,,,1.4444,,0.71662,,,,,,,
"Jan 1986",,,,,,,,0.020063,,,1.4240,,0.71074,,,,,,,
"Feb 1986",,,,,,,,0.020943,,,1.4289,,0.71210,,,,,,,
"Mar 1986",,,,,,,,0.021458,,,1.4672,,0.71381,,,,,,,
"Apr 1986",,,,,,,,0.021554,,,1.4977,,0.72051,,,,,,,
"May 1986",,,,,,,,0.021979,,,1.5208,,0.72689,,,,,,,
"Jun 1986",,,,,,,,0.021914,,,1.5084,,0.71947,,,,,,,
"Jul 1986",,,,,,,,0.022571,,,1.5067,,0.72419,,,,,,,
"Aug 1986",,,,,,,,0.023418,,,1.4861,,0.72019,,,,,,,
"Sep 1986",,,,,,,,0.023632,,,1.4695,,0.72085,,,,,,,
"Oct 1986",,,,,,,,0.024019,,,1.4263,,0.72022,,,,,,,
"Nov 1986",,,,,,,,0.023771,,,1.4238,,0.72134,,,,,,,
"Dec 1986",,,,,,,,0.024166,,,1.4391,,0.72461,,,,,,,
"Jan 1987",,,,,,,,0.025896,,,1.5051,,0.73500,,,,,,,
"Feb 1987",,,,,,,,0.026463,,,1.5279,,0.74964,,,,,,,
"Mar 1987",,,,,,,,0.026296,,,1.5921,,0.75790,,,,,,,
"Apr 1987",,,,,,,,0.026629,,,1.6311,,0.75804,,,,,,,
"May 1987",,,,,,,,0.026961,,,1.6663,,0.74567,,,,,,,
"Jun 1987",,,,,,,,0.026517,,,1.6286,,0.74700,,,,,,,
"Jul 1987",,,,,,,,0.026089,,,1.6089,,0.75405,,,,,,,
"Aug 1987",,,,,,,,0.025955,,,1.5992,,0.75435,,,,,,,
"Sep 1987",,,,,,,,0.026556,,,1.6446,,0.76020,,,,,,,
"Oct 1987",,,,,,,,0.026670,,,1.6614,,0.76350,,,,,,,
"Nov 1987",,,,,,,,0.028417,,,1.7751,,0.75949,,,,,,,
"Dec 1987",,,,,,,,0.029252,,,1.8285,,0.76482,,,,,,,
"Jan 1988",,,,,,,,0.028921,,,1.8005,,0.77791,,,,,,,
"Feb 1988",,,,,,,,0.028190,,,1.7582,,0.78851,,,,,,,
"Mar 1988",,,,,,,,0.028504,,,1.8325,,0.80048,,,,,,,
"Apr 1988",,,,,,,,0.028602,,,1.8781,,0.80952,,,,,,,
"May 1988",,,,,,,,0.028264,,,1.8694,,0.80821,,,,,,,
"Jun 1988",,,,,,,,0.027184,,,1.7759,,0.82126,,,,,,,
"Jul 1988",,,,,,,,0.025874,,,1.7049,,0.82815,,,,,,,
"Aug 1988",,,,,,,,0.025276,,,1.6964,,0.81723,,,,,,,
"Sep 1988",,,,,,,,0.025543,,,1.6839,,0.81521,,,,,,,
"Oct 1988",,,,,,,,0.026262,,,1.7383,,0.82952,,,,,,,
"Nov 1988",,,,,,,,0.027270,,,1.8081,,0.82061,,,,,,,
"Dec 1988",,,,,,,,0.027163,,,1.8255,,0.83595,,,,,,,
"Jan 1989",,,,,,,,0.026014,,,1.7736,,0.83939,,,,,,,
"Feb 1989",,,,,,,,0.025779,,,1.7533,,0.84098,,,,,,,
"Mar 1989",,,,,,,,0.025552,,,1.7133,,0.83656,,,,,,,
"Apr 1989",,,,,,,,0.025544,,,1.7007,,0.84121,,,,,,,
"May 1989",,,,,,,,0.024557,,,1.6295,,0.83857,,,,,,,
"Jun 1989",,,,,,,,0.024147,,,1.5527,,0.83434,,,,,,,
"Jul 1989",,,,,,,,0.025279,,,1.6266,,0.84095,,,,,,,
"Aug 1989",,,,,,,,0.024808,,,1.5942,,0.85051,,,,,,,
"Sep 1989",,,,,,,,0.024486,,,1.5710,,0.84545,,,,,,,
"Oct 1989",,,,,,,,0.025512,,,1.5872,,0.85113,,,,,,,
"Nov 1989",,,,,,,,0.026039,,,1.5724,,0.85488,,,,,,,
"Dec 1989",,,,,,,,0.027364,,,1.5963,,0.86107,,,,,,,
"Jan 1990",,,,,,,,0.028208,,,1.6510,,0.85322,,,,,,,
"Feb 1990",,,,,,,,0.028573,,,1.6961,,0.83579,,,,,,,
"Mar 1990",,,,,,,,0.028250,,,1.6242,,0.84747,,,,,,,
"Apr 1990",,,,,,,,0.028680,,,1.6371,,0.85904,,,,,,,
"May 1990",,,,,,,,0.029133,,,1.6772,,0.85128,,,,,,,
"Jun 1990",,,,,,,,0.028900,,,1.7100,,0.85248,,,,,,,
"Jul 1990",,,,,,,,0.029660,,,1.8095,,0.86429,,,,,,,
"Aug 1990",,,,,,,,0.030979,,,1.9007,,0.87351,,,,,,,
"Sep 1990",,,,,,,,0.030977,,,1.8792,,0.86330,,,,,,,
"Oct 1990",,,,,,,,0.031875,,,1.9453,,0.86206,,,,,,,
"Nov 1990",,,,,,,,0.032630,,,1.9642,,0.85949,,,,,,,
"Dec 1990",,,,,,,,0.032244,,,1.9216,,0.86188,,,,,,,
"Jan 1991",,,0.77964,0.094125,,,,0.032172,,,1.9355,,0.86512,,,,,,,0.17220
"Feb 1991",,,0.78409,0.096065,,,,0.032806,,,1.9638,,0.86611,,,,,,,0.17559
"Mar 1991",,,0.77129,0.088544,,,,0.030118,,,1.8199,,0.86430,,,,,,,0.16197
"Apr 1991",,,0.77981,0.083542,,,,0.028563,,,1.7496,,0.86707,,,,,,,0.15348
"May 1991",,,0.77377,0.082719,,,,0.028291,,,1.7247,,0.86984,,,,,,,0.15219
"Jun 1991",,,0.76023,0.079646,,,,0.027254,,,1.6499,,0.87433,,,,,,,0.14562
"Jul 1991",,,0.77169,0.079556,,,,0.027179,,,1.6490,,0.87043,,,,,,,0.14487
"Aug 1991",,,0.78272,0.081377,,,,0.027830,,,1.6844,,0.87338,,,,,,,0.14829
"Sep 1991",,,0.79392,0.083852,,,,0.028679,,,1.7271,,0.87966,,,,,,,0.15303
"Oct 1991",,,0.79278,0.084070,,,,0.028751,,,1.7233,,0.88660,,,,,,,0.15335
"Nov 1991",,,0.78676,0.087598,,,,0.029949,,,1.7790,,0.88470,,,,,,,0.15892
"Dec 1991",,,0.77186,0.090752,,,,0.031069,,,1.8269,,0.87223,,,,,,,0.16417
"Jan 1992",,,0.74789,0.090135,,,,0.030739,,,1.8083,,0.86470,,,,,,,0.16319
"Feb 1992",,,0.75211,0.087790,,,,0.030014,,,1.7775,,0.84565,,,,,,,0.15938
"Mar 1992",,,0.75899,0.085584,,,,0.029244,,,1.7242,,0.83848,,,,,,,0.15515
"Apr 1992",,,0.76250,0.086200,,,,0.029471,,,1.7568,,0.84225,,,,,,,0.15660
"May 1992",,,0.75606,0.087520,,,,0.029955,,,1.8100,,0.83405,,,,,,,0.15949
"Jun 1992",,,0.75589,0.090328,,,,0.030896,,,1.8550,,0.83621,,,,,,,0.16510
"Jul 1992",,,0.74526,0.095412,,,,0.032553,,,1.9178,,0.83883,,,,,,,0.17417
"Aug 1992",,,0.72400,0.097990,,,,0.033531,,,1.9434,,0.83995,,,,,,,0.17924
"Sep 1992",,,0.72271,0.098148,,,,0.033438,,,1.8397,,0.81815,,,,,,,0.17806
"Oct 1992",,,0.71485,0.095926,,,,0.032718,,,1.6523,,0.80319,,,,,,,0.17469
"Nov 1992",,,0.68986,0.089696,,,,0.030611,,,1.5267,,0.78867,,,,,,,0.16350
"Dec 1992",,,0.69001,0.090004,,,,0.030728,,,1.5509,,0.78602,,,,,,,0.16348
"Jan 1993",,,0.67331,0.088147,,,,0.030083,,,1.5335,,0.78275,,0.17307,,,,,0.16053
"Feb 1993",,,0.68307,0.086571,,,,0.029533,,,1.4384,,0.79381,,0.17281,,,,,0.15859
"Mar 1993",,,0.70803,0.086247,,,,0.029493,,,1.4618,,0.80201,,0.17408,,,,,0.15814
"Apr 1993",,,0.71195,0.089230,,,,0.030437,,,1.5450,,0.79246,,0.17484,,,,,0.16311
"May 1993",,,0.69792,0.088543,,,,0.030289,,,1.5484,,0.78758,,0.17426,,,,,0.16211
"Jun 1993",,,0.67510,0.085987,,,,0.029405,,,1.5082,,0.78210,,0.17394,,,,,0.15781
"Jul 1993",,,0.67846,0.082913,,,,0.028219,,,1.4962,,0.78001,,0.17316,,,,,0.15052
"Aug 1993",,,0.67701,0.083833,,,,0.027798,,,1.4919,,0.76465,,0.17272,,,,,0.14500
"Sep 1993",,,0.65183,0.087687,,,,0.028756,,,1.5259,,0.75691,,0.17241,,,,,0.15077
"Oct 1993",,,0.66112,0.086736,,,,0.028029,,,1.5025,,0.75408,,0.17240,,,,,0.15064
"Nov 1993",,,0.66486,0.083578,,,,0.027615,,,1.4814,,0.75888,,0.17219,,,,,0.14786
"Dec 1993",,,0.67336,0.083148,,,,0.028026,,,1.4915,,0.75159,,0.17182,,,,,0.14923
"Jan 1994",,,0.69612,0.081594,,,,0.027609,,,1.4928,,0.75914,,0.11466,,,,,0.14774
"Feb 1994",,,0.71633,0.081914,,,,0.027949,,,1.4791,,0.74511,,0.11463,,,,,0.14783
"Mar 1994",,,0.71090,0.084011,,,,0.028706,,,1.4921,,0.73298,,0.11464,,,,,0.15082
"Apr 1994",,,0.71584,0.083771,,,,0.028595,,,1.4824,,0.72318,,0.11463,,,,,0.15012
"May 1994",,,0.72486,0.085727,,,,0.029341,,,1.5045,,0.72418,,0.11514,,,,,0.15431
"Jun 1994",,,0.73318,0.087238,,,,0.029834,,,1.5264,,0.72266,,0.11515,,,,,0.15672
"Jul 1994",,,0.73411,0.090656,,,,0.030929,,,1.5464,,0.72334,,0.11549,,,,,0.16225
"Aug 1994",,,0.74033,0.090905,,,,0.031025,,,1.5423,,0.72567,,0.11621,,,,,0.16170
"Sep 1994",,,0.74171,0.091689,,,,0.031374,,,1.5661,,0.73870,,0.11687,,,,,0.16385
"Oct 1994",,,0.73812,0.093534,,,,0.031986,,,1.6063,,0.74073,,0.11699,,,,,0.16813
"Nov 1994",,,0.75511,0.092236,,,,0.031547,,,1.5878,,0.73265,,0.11716,,,,,0.16582
"Dec 1994",,,0.77409,0.090388,,,,0.030949,,,1.5586,,0.71994,,0.11750,,,,,0.16233
"Jan 1995",,,0.76467,0.092861,,,,0.031711,,,1.5745,,0.70776,,0.11822,,,,,0.16586
"Feb 1995",,,0.74451,0.094612,,,,0.032319,,,1.5725,,0.71402,,0.11829,,,,,0.16881
"Mar 1995",,,0.73477,0.101024,,,,0.034487,,,1.6005,,0.71055,,0.11840,,,,,0.17767
"Apr 1995",,,0.73590,0.102899,,,,0.035192,,,1.6074,,0.72700,,0.11851,,,,,0.18408
"May 1995",,,0.72698,0.100974,,,,0.034504,,,1.5876,,0.73474,,0.11997,,,,,0.18144
"Jun 1995",,,0.71986,0.101613,,,,0.034749,,,1.5951,,0.72611,,0.12021,,,,,0.18286
"Jul 1995",,,0.72717,0.102401,,,,0.035038,,,1.5954,,0.73453,,0.12021,,,,,0.18493
"Aug 1995",,,0.74158,0.098484,,,,0.033650,,,1.5666,,0.73799,,0.12013,,,,,0.17845
"Sep 1995",,,0.75391,0.097296,,,,0.033288,,,1.5592,,0.74034,,0.11996,,,,,0.17685
"Oct 1995",,,0.75722,0.100444,,,,0.034376,,,1.5782,,0.74322,,0.12000,,,,,0.18214
"Nov 1995",,,0.74533,0.100303,1.00000,,0.50249,0.034327,1.00001,,1.5626,,0.73906,0.0024302,0.12004,,,,,0.18215
"Dec 1995",,,0.74077,0.098667,1.00000,,0.50249,0.033782,1.00000,,1.5407,,0.73043,0.0024418,0.12000,,,,,0.17924
"Jan 1996",,,0.74213,0.097270,1.00000,,0.50252,0.033264,1.00000,,1.5296,,0.73177,0.0024455,0.11995,,,,,0.17679
"Feb 1996",,,0.75582,0.097001,1.00000,,0.50251,0.033176,1.00000,,1.5366,,0.72701,0.0024336,0.12027,,,,,0.17655
"Mar 1996",,,0.77143,0.096233,0.99999,,0.50251,0.032929,0.99999,,1.5273,,0.73242,0.0024297,0.12006,,,,,0.17522
"Apr 1996",,,0.78607,0.094550,1.00000,,0.50252,0.032359,1.00000,,1.5161,,0.73583,0.0024486,0.12000,,,,,0.17238
"May 1996",,,0.79665,0.092601,1.00000,,0.50253,0.031735,1.00000,,1.5153,,0.73032,0.0024624,0.12004,,,,,0.16902
"Jun 1996",,,0.79168,0.092861,1.00000,,0.49797,0.031815,1.00000,,1.5418,,0.73233,0.0024415,0.12017,,,,,0.16972
"Jul 1996",,,0.78989,0.094529,0.99967,,0.49722,0.032292,1.00000,,1.5535,,0.73041,0.0024363,0.12024,,,,,0.17253
"Aug 1996",,1.000226,0.78397,0.095861,1.00000,,0.49716,0.032738,1.00000,0.98673,1.5503,,0.72895,0.0024351,0.12037,,,,0.037801,0.17450
"Sep 1996",,1.000172,0.79340,0.094267,1.00000,,0.49723,0.032213,1.00000,0.98130,1.5595,,0.73033,0.0024289,0.12042,,,,0.037579,0.17229
"Oct 1996",,1.000241,0.79203,0.093048,1.00000,,0.49716,0.031781,1.00000,0.97593,1.5864,,0.74039,0.0024052,0.12049,,,,0.036928,0.17076
"Nov 1996",0.0183082,1.000241,0.79766,0.093950,1.00000,,0.49720,0.032082,1.00000,0.97091,1.6633,3.15955,0.74718,0.0023831,0.12049,,,2.1698,0.037294,0.17216
"Dec 1996",0.0180954,1.000271,0.79689,0.091587,1.00000,,0.49714,0.031272,1.00000,0.96454,1.6639,2.14711,0.73431,0.0023674,0.12049,,,2.1252,0.036580,0.16840
"Jan 1997",0.0177136,1.000240,0.77802,0.088528,1.00000,,0.49721,0.030212,1.00000,0.95939,1.6585,1.21670,0.74150,0.0023629,0.12054,,,2.0702,0.036319,0.16333
"Feb 1997",0.0175710,1.000258,0.76816,0.084807,1.00000,,0.49718,0.028924,1.00000,0.95366,1.6256,0.40138,0.73790,0.0024073,0.12059,,,1.9878,0.035398,0.15649
"Mar 1997",0.0176488,1.000248,0.78850,0.083816,1.00000,,0.49718,0.028594,1.00000,0.94642,1.6085,0.61442,0.72895,0.0024159,0.12054,,,1.9673,0.034264,0.15467
