Representative Exchange Rates for Selected Currencies for May 2017,,,,,,,,,,,
Currency,1-May-17,2-May-17,3-May-17,4-May-17,5-May-17,8-May-17,9-May-17,10-May-17,11-May-17,12-May-17,15-May-17
Russian Ruble,56.2603,56.7383,57.4683,57.1602,56.4988,56.5552,56.2743,56.0701,56.756,NA,
Saudi Arabian Riyal,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,NA,
Singapore Dollar,1.3981,1.3937,1.3902,1.3924,1.3871,1.3883,1.3904,1.3836,1.3858,NA,
South African Rand,13.13335,13.1352,13.50875,13.26,NA,13.17395,12.9277,12.91775,12.8727,NA,
Sri Lanka Rupee,152.3,152.3667,152.3295,152.5,152.5,152.5,152.5,152.5,152.5,NA,
Swedish Krona,8.7901,8.7794,8.7477,8.7678,8.7181,8.682,8.7141,NA,8.677,NA,
Swiss Franc,0.99,0.9837,0.9773,0.9785,0.9711,0.9713,0.9763,0.9727,0.9701,NA,
Thai Baht,34.489,34.489,34.491,34.522,34.367,34.382,34.459,34.244,34.083,NA,
Trinidad And Tobago Dollar,6.7323,6.7571,6.7588,6.767,6.7738,6.7763,6.7503,6.7416,6.7481,NA,
Tunisian Dinar,2.49992,2.46701,2.47856,2.4456,2.45066,2.42089,2.432,2.44833,2.43661,NA,
U.A.E. Dirham,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,NA,
Peso Uruguayo,28.059,28.094,28.345,28.245,NA,28.204,28.224,28.232,NA,NA,
Bolivar Fuerte,9.975,9.975,9.975,9.975,9.975,9.975,9.975,NA,9.975,NA,
,,,,,,,,,,,
Notes:,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"These representative exchange rates, which are reported to the Fund by the issuing central bank, are expressed in terms of currency units per U.S. dollar, except for those indicated by",,,,,,,,,,,
,,,,,,,,,,,
"(1) which are in terms of U.S. dollars per currency unit, and those indicated by",,,,,,,,,,,
,,,,,,,,,,,
(2) which are expressed in terms of currency units per SDR.,,,,,,,,,,,
